# data generated of observed event counts vs reconstructed mass
# column 1:Reconstructed mass(GeV/c^2), column 2: #events, column 3: error
8.500000000000000000e+01,2.011387688807423046e+01,4.484849706297216798e+00
8.520000000000000284e+01,1.948958586222906675e+01,4.414701106782775497e+00
8.540000000000000568e+01,1.707798970846230446e+01,4.132552444732226604e+00
8.559999999999999432e+01,2.082766024400283200e+01,4.563733147764319931e+00
8.579999999999999716e+01,2.153785144983518407e+01,4.640889079673762296e+00
8.600000000000000000e+01,2.202263790285429934e+01,4.692828347900048769e+00
8.620000000000000284e+01,2.393398442582154928e+01,4.892237159605158148e+00
8.640000000000000568e+01,2.315446215104905292e+01,4.811908368937323210e+00
8.659999999999999432e+01,2.649002881192747338e+01,5.146846491972290494e+00
8.679999999999999716e+01,2.558525266324684466e+01,5.058186697152136979e+00
8.700000000000000000e+01,3.395600773945260897e+01,5.827178368597670577e+00
8.720000000000000284e+01,2.368384307676152289e+01,4.866604881923487724e+00
8.740000000000000568e+01,2.876449497586723680e+01,5.363254140525809177e+00
8.759999999999999432e+01,3.118559244972645317e+01,5.584406185954461144e+00
8.779999999999999716e+01,2.781121098788337420e+01,5.273633565947047686e+00
8.800000000000000000e+01,3.160246260202822555e+01,5.621606763375416094e+00
8.820000000000000284e+01,3.332208105224901828e+01,5.772528133517325521e+00
8.840000000000000568e+01,4.917335785675644644e+01,7.012371771145369692e+00
8.859999999999999432e+01,4.377720639948610426e+01,6.616434568518463344e+00
8.879999999999999716e+01,7.924856711051731395e+01,8.902166427927379999e+00
8.900000000000000000e+01,9.265512824239419842e+01,9.625753385704113541e+00
8.920000000000000284e+01,8.422716836629348336e+01,9.177536072731802719e+00
8.940000000000000568e+01,1.042517197697324747e+02,1.021037314546987851e+01
8.959999999999999432e+01,1.348246701284201379e+02,1.161140259091984639e+01
8.979999999999999716e+01,1.544919275149640328e+02,1.242947816744387879e+01
9.000000000000000000e+01,1.866975456784672645e+02,1.366373103066901251e+01
9.020000000000000284e+01,2.024903706316975729e+02,1.422991112522132262e+01
9.040000000000000568e+01,2.491062873183508941e+02,1.578310132129775312e+01
9.059999999999999432e+01,2.488760400701317224e+02,1.577580552840747075e+01
9.079999999999999716e+01,2.603710448308136733e+02,1.613601700639949499e+01
9.100000000000000000e+01,2.511544490842948960e+02,1.584785313802140472e+01
9.120000000000000284e+01,2.797312992869695449e+02,1.672516963402672019e+01
9.140000000000000568e+01,2.663219876820822947e+02,1.631937461063021999e+01
9.159999999999999432e+01,2.613415972545167278e+02,1.616606313406318307e+01
9.179999999999999716e+01,2.474112460412747794e+02,1.572931168364575250e+01
9.200000000000000000e+01,2.041848381943181607e+02,1.428932602309563649e+01
9.220000000000000284e+01,2.305204254464856604e+02,1.518289911204331410e+01
9.240000000000000568e+01,1.875977335739034118e+02,1.369663219824141365e+01
9.259999999999999432e+01,1.430973661932109167e+02,1.196233113541047643e+01
9.279999999999999716e+01,1.403848245591471766e+02,1.184841021230895741e+01
9.300000000000000000e+01,9.718114373749419599e+01,9.858049692383083595e+00
9.320000000000000284e+01,8.755710116568647550e+01,9.357195154836007944e+00
9.340000000000000568e+01,6.327414524142345442e+01,7.954504713772156066e+00
9.359999999999999432e+01,7.122542778115345641e+01,8.439515849926076285e+00
9.379999999999999716e+01,5.509629863281286788e+01,7.422688100197452954e+00
9.400000000000000000e+01,4.151688960582397669e+01,6.443360117657864983e+00
9.420000000000000284e+01,3.868114949574850669e+01,6.219417134728020713e+00
9.440000000000000568e+01,4.163135157661591279e+01,6.452236168694998497e+00
9.459999999999999432e+01,3.241509339610816198e+01,5.693425453635812872e+00
9.479999999999999716e+01,2.698985297738947509e+01,5.195175933247061728e+00
9.500000000000000000e+01,3.056051647757174550e+01,5.528156697993622082e+00
9.520000000000000284e+01,2.613815103819078800e+01,5.112548389814103977e+00
9.540000000000000568e+01,2.300660561923581326e+01,4.796520157284425601e+00
9.559999999999999432e+01,3.249440741416921696e+01,5.700386602167366590e+00
9.579999999999999716e+01,1.597889853493163592e+01,3.997361446620962599e+00
9.600000000000000000e+01,1.922193878616052842e+01,4.384283155335719329e+00
9.620000000000000284e+01,2.256348612224914518e+01,4.750103801207837151e+00
9.640000000000000568e+01,2.308154809177344546e+01,4.804325976843520252e+00
9.659999999999999432e+01,2.724649413570379863e+01,5.219817442756384374e+00
9.679999999999999716e+01,1.530517795027260242e+01,3.912183271559833475e+00
9.700000000000000000e+01,3.136679979160820153e+01,5.600607091343598576e+00
