#Data file for phys165 lab 1
#muon flux versus altitude of 4.0 GeV/c muons
# col1:altitude(m),col2:muon flux(#/m^2/s), col3:error on measurement
0.000000000000000000e+00,1.391364554996809784e+04,3.478411387492024573e+02
1.500000000000000000e+03,1.466214070680062287e+04,3.665535176700155944e+02
3.000000000000000000e+03,1.505406768415582155e+04,3.763516921038955729e+02
4.500000000000000000e+03,1.681644073871357614e+04,4.204110184678394262e+02
6.000000000000000000e+03,1.719182251821252066e+04,4.297955629553130166e+02
7.500000000000000000e+03,1.931522517655112097e+04,4.828806294137780242e+02
9.000000000000000000e+03,1.943146778568747322e+04,4.857866946421868306e+02
1.050000000000000000e+04,2.093692923612588493e+04,5.234232309031471004e+02
1.200000000000000000e+04,2.220973768613413631e+04,5.552434421533533850e+02
1.350000000000000000e+04,2.426913904964496760e+04,6.067284762411242127e+02
1.500000000000000000e+04,2.526743062899044162e+04,6.316857657247610405e+02
